uf,estado,regiao,municipios,total_beneficiarios,total_valor,valor_medio
BA,BAHIA,NORDESTE,417,2447388,1584872938.0,647.58
RJ,RIO DE JANEIRO,SUDESTE,92,1724036,1114805798.0,646.63
PE,PERNAMBUCO,NORDESTE,185,1611495,1045945466.0,649.05
MG,MINAS GERAIS,SUDESTE,853,1603358,1039676121.0,648.44
CE,CEARÁ,NORDESTE,184,1465651,958284427.0,653.83
PA,PARÁ,NORTE,144,1316952,883787104.0,671.09
MA,MARANHÃO,NORDESTE,217,1175073,794523127.0,676.15
SP,SÃO PAULO,SUDESTE,227,745676,489588271.0,656.57
PB,PARAÍBA,NORDESTE,223,674395,436526978.0,647.29
AM,AMAZONAS,NORTE,62,648075,459446491.0,708.94
PI,PIAUÍ,NORDESTE,224,600292,393485914.0,655.49
AL,ALAGOAS,NORDESTE,102,533221,355360672.0,666.44
RN,RIO GRANDE DO NORTE,NORDESTE,167,501640,319435266.0,636.78
SE,SERGIPE,NORDESTE,75,384326,246348076.0,640.99
ES,ESPIRITO SANTO,SUDESTE,78,305257,200681477.0,657.42
TO,TOCANTINS,NORTE,139,158384,107158264.0,676.57
AC,ACRE,NORTE,22,130174,91867451.0,705.73
RO,RONDÔNIA,NORTE,52,124518,84201236.0,676.22
AP,AMAPÁ,NORTE,16,118234,81678257.0,690.82
RR,RORAIMA,NORTE,15,73097,53708371.0,734.75
